site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD
DK0012R,2018-01-01 07:00:00,2018-01-02 07:00:00,24.0,0.347,0.008370107345794924,0.03469711351293129,0.3771166666666667,0.37137916666666665
DK0012R,2018-01-02 07:00:00,2018-01-03 07:00:00,24.0,0.542,0.3562904427992925,0.3447469285080395,0.7702583333333334,0.7826374999999999
DK0012R,2018-01-03 07:00:00,2018-01-04 07:00:00,24.0,0.428,0.28178176151818857,0.2864162023407418,0.7444083333333333,0.7377083333333333
DK0012R,2018-01-04 07:00:00,2018-01-05 07:00:00,24.0,0.25,0.3232242724234237,0.31337085229326034,0.677225,0.6882333333333334
DK0012R,2018-01-05 07:00:00,2018-01-06 07:00:00,24.0,0.49,0.4347408953076601,0.402122658611536,1.1168416666666667,1.1328958333333334
DK0012R,2018-01-06 07:00:00,2018-01-07 07:00:00,24.0,0.235,0.14134977874953292,0.1211141393120586,0.19735,0.19897083333333332
DK0012R,2018-01-07 07:00:00,2018-01-08 07:00:00,24.0,0.47,0.11350892300315192,0.10888306182041756,0.474275,0.479875
DK0012R,2018-01-08 07:00:00,2018-01-09 07:00:00,24.0,0.63,0.5958076684731245,0.5790387632873655,0.9896333333333334,1.0342583333333335
DK0012R,2018-01-09 07:00:00,2018-01-10 07:00:00,24.0,0.728,0.9299004077351093,0.7996444840377569,0.4051458333333333,0.45945833333333336
DK0012R,2018-01-10 07:00:00,2018-01-11 07:00:00,24.0,1.783,0.6437046112257242,0.5353014900910854,0.9878041666666667,1.0301541666666667
DK0012R,2018-01-11 07:00:00,2018-01-12 07:00:00,24.0,1.035,1.2032488914120198,0.9411495356953145,0.7323999999999998,0.786325
DK0012R,2018-01-12 07:00:00,2018-01-13 07:00:00,24.0,0.844,1.2832383807373047,1.1166514614021779,0.614525,0.651725
DK0012R,2018-01-13 07:00:00,2018-01-14 07:00:00,24.0,0.861,1.7242048860621455,1.5448079179859162,0.5869666666666666,0.6185083333333333
DK0012R,2018-01-14 07:00:00,2018-01-15 07:00:00,24.0,1.548,1.4839690286052225,1.222603398885727,0.8048375,0.8297208333333334
DK0012R,2018-01-15 07:00:00,2018-01-16 07:00:00,24.0,1.325,1.1995669566091893,1.0310854737449437,0.644675,0.6617625
DK0012R,2018-01-16 07:00:00,2018-01-17 07:00:00,24.0,0.264,0.02602306262952032,0.02278407129975839,0.37247916666666664,0.37651666666666667
DK0012R,2018-01-17 07:00:00,2018-01-18 07:00:00,24.0,0.342,0.02751009581700654,0.024111185905632937,0.4034291666666667,0.41230833333333333
DK0012R,2018-01-18 07:00:00,2018-01-19 07:00:00,24.0,1.0,0.3133350447854958,0.2911774589491821,1.0328166666666667,1.0369916666666665
DK0012R,2018-01-19 07:00:00,2018-01-20 07:00:00,24.0,1.214,0.5108837380099296,0.48463547452121974,1.2550083333333333,1.2787458333333335
DK0012R,2018-01-20 07:00:00,2018-01-21 07:00:00,24.0,1.778,1.4208170231485369,1.3437964896595478,1.7692666666666668,1.8238375
DK0012R,2018-01-21 07:00:00,2018-01-22 07:00:00,24.0,1.749,2.620921883330345,2.391770040667057,1.6708333333333332,1.7009458333333332
DK0012R,2018-01-22 07:00:00,2018-01-23 07:00:00,24.0,1.84,2.6145961046195034,2.2119167365956307,1.1877708333333334,1.1847958333333335
DK0012R,2018-01-23 07:00:00,2018-01-24 07:00:00,24.0,2.087,1.3584188699215651,1.2127746055907012,1.0686958333333332,1.0878041666666667
DK0012R,2018-01-24 07:00:00,2018-01-25 07:00:00,24.0,0.601,0.44397239018350837,0.3869628048434853,0.5150208333333334,0.5044666666666667
DK0012R,2018-01-25 07:00:00,2018-01-26 07:00:00,24.0,1.444,0.9978153137296438,0.9235931130504608,1.7398041666666666,1.7285625
DK0012R,2018-01-26 07:00:00,2018-01-27 07:00:00,24.0,1.792,0.6730957122153044,0.618780055130124,1.9511916666666667,1.9918708333333333
DK0012R,2018-01-27 07:00:00,2018-01-28 07:00:00,24.0,1.512,0.46498518870512334,0.4259404826938226,0.952875,0.9881125000000001
DK0012R,2018-01-28 07:00:00,2018-01-29 07:00:00,24.0,0.232,0.013508712090258966,0.010050295888730966,0.16567500000000002,0.159825
DK0012R,2018-01-29 07:00:00,2018-01-30 07:00:00,24.0,0.097,0.0011543431499680715,0.0006346980914475111,0.058033333333333326,0.05654166666666666
DK0012R,2018-01-30 07:00:00,2018-01-31 07:00:00,24.0,0.582,0.48084509807469605,0.43933903932923785,0.6192041666666667,0.6209708333333334
DK0012R,2018-01-31 07:00:00,2018-02-01 07:00:00,24.0,0.619,0.4279006598227191,0.3838648848495119,0.38110416666666663,0.39076249999999996
DK0012R,2018-02-01 07:00:00,2018-02-02 07:00:00,24.0,1.168,0.3909822417634725,0.35316494465894993,1.1875541666666667,1.1890958333333332
DK0012R,2018-02-02 07:00:00,2018-02-03 07:00:00,24.0,0.655,0.3244956222474575,0.2871514751583337,0.6098291666666668,0.6227999999999999
DK0012R,2018-02-03 07:00:00,2018-02-04 07:00:00,24.0,0.497,0.599184199296236,0.4761191332465409,0.2561333333333334,0.2519416666666667
DK0012R,2018-02-04 07:00:00,2018-02-05 07:00:00,24.0,0.467,0.25430654219076027,0.2219497539445757,0.26269583333333335,0.26269166666666666
DK0012R,2018-02-05 07:00:00,2018-02-06 07:00:00,24.0,0.542,0.15012124146930864,0.1180986671995557,0.49111666666666665,0.4980291666666667
