site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
NL10444,2021-01-01 00:00:00,2021-01-01 01:00:00,1.0,0.085,0.1401919441223144,0.1391178313636779
NL10444,2021-01-01 01:00:00,2021-01-01 02:00:00,1.0,0.14,0.1308475246810912,0.1305904138755797
NL10444,2021-01-01 02:00:00,2021-01-01 03:00:00,1.0,0.25,0.1053311304759978,0.1073321570777892
NL10444,2021-01-01 03:00:00,2021-01-01 04:00:00,1.0,0.285,0.1091021697521209,0.1122717588043212
NL10444,2021-01-01 04:00:00,2021-01-01 05:00:00,1.0,0.29,0.1279240683746338,0.1294968698501586
NL10444,2021-01-01 05:00:00,2021-01-01 06:00:00,1.0,0.335,0.1425513584232329,0.1421126198101043
NL10444,2021-01-01 06:00:00,2021-01-01 07:00:00,1.0,0.425,0.1384463821220397,0.1372428555107116
NL10444,2021-01-01 07:00:00,2021-01-01 08:00:00,1.0,0.465,0.1220391314792633,0.1215129420661925
NL10444,2021-01-01 08:00:00,2021-01-01 09:00:00,1.0,0.445,0.1153748129367827,0.1150515509891509
NL10444,2021-01-01 09:00:00,2021-01-01 10:00:00,1.0,0.465,0.1331124084949493,0.1325016466140746
NL10444,2021-01-01 10:00:00,2021-01-01 11:00:00,1.0,0.32,0.122786336402893,0.1222825878810882
NL10444,2021-01-01 11:00:00,2021-01-01 12:00:00,1.0,0.26,0.0996907205200194,0.0993350596618652
NL10444,2021-01-01 12:00:00,2021-01-01 13:00:00,1.0,0.235,0.0900906344890593,0.0897962669563293
NL10444,2021-01-01 13:00:00,2021-01-01 14:00:00,1.0,0.2,0.1147241785812377,0.1145442979717254
NL10444,2021-01-01 14:00:00,2021-01-01 15:00:00,1.0,0.16,0.124379922466278,0.1232968919277191
NL10444,2021-01-01 15:00:00,2021-01-01 16:00:00,1.0,0.13,0.1122619017791747,0.1104314138317107
NL10444,2021-01-01 16:00:00,2021-01-01 17:00:00,1.0,0.095,0.0917624808883666,0.0911236628437042
NL10444,2021-01-01 17:00:00,2021-01-01 18:00:00,1.0,0.08,0.0947414738559722,0.0940599757003783
NL10444,2021-01-01 18:00:00,2021-01-01 19:00:00,1.0,0.11,0.0918321466255187,0.0912860916709899
NL10444,2021-01-01 19:00:00,2021-01-01 20:00:00,1.0,0.08,0.0845445479822158,0.0840578725147246
NL10444,2021-01-01 20:00:00,2021-01-01 21:00:00,1.0,0.075,0.0901942847442625,0.0895370857715605
NL10444,2021-01-01 21:00:00,2021-01-01 22:00:00,1.0,0.06,0.1091907819843291,0.1085304723930357
NL10444,2021-01-01 22:00:00,2021-01-01 23:00:00,1.0,0.075,0.1153392933082579,0.1145498021507262
NL10444,2021-01-01 23:00:00,2021-01-02 00:00:00,1.0,0.04,0.1302837957572936,0.1293852107620238
NL10444,2021-01-02 00:00:00,2021-01-02 01:00:00,1.0,0.065,0.1335818796157837,0.1327502638149261
NL10444,2021-01-02 01:00:00,2021-01-02 02:00:00,1.0,0.11,0.1450159277915954,0.1440798032855987
NL10444,2021-01-02 02:00:00,2021-01-02 03:00:00,1.0,0.085,0.1365572670936584,0.1351099104022979
NL10444,2021-01-02 03:00:00,2021-01-02 04:00:00,1.0,0.065,0.1259523502635955,0.1238170418930053
NL10444,2021-01-02 04:00:00,2021-01-02 05:00:00,1.0,0.17,0.139800551548004,0.1364809155464171
NL10444,2021-01-02 05:00:00,2021-01-02 06:00:00,1.0,0.155,0.1582534883880614,0.1544714912509917
NL10444,2021-01-02 06:00:00,2021-01-02 07:00:00,1.0,0.11,0.1672304508590698,0.1645883843421935
NL10444,2021-01-02 07:00:00,2021-01-02 08:00:00,1.0,0.135,0.1854300338745117,0.1845074930763244
NL10444,2021-01-02 08:00:00,2021-01-02 09:00:00,1.0,0.115,0.2138247299194336,0.2133051960182189
