site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2020-01-01 07:00:00,2020-01-02 07:00:00,24.0,1.107,2.1579159840021465,2.273073842712146
DK0012R,2020-01-02 07:00:00,2020-01-03 07:00:00,24.0,2.318,3.3605129257783886,3.376617257649613
DK0012R,2020-01-03 07:00:00,2020-01-04 07:00:00,24.0,0.23,0.1939715042851393,0.255536076945486
DK0012R,2020-01-04 07:00:00,2020-01-05 07:00:00,24.0,0.048,0.17861557477709358,0.21104488499254556
DK0012R,2020-01-05 07:00:00,2020-01-06 07:00:00,24.0,0.552,0.36864827335781786,0.43246815239454756
DK0012R,2020-01-06 07:00:00,2020-01-07 07:00:00,24.0,1.757,2.0689785564792174,2.106631430053458
DK0012R,2020-01-07 07:00:00,2020-01-08 07:00:00,24.0,1.298,0.9209654413750231,0.9700174852380751
DK0012R,2020-01-08 07:00:00,2020-01-09 07:00:00,24.0,0.39,0.20615523030340765,0.2693644884219379
DK0012R,2020-01-09 07:00:00,2020-01-10 07:00:00,24.0,0.325,1.059831550430482,1.1306135310699876
DK0012R,2020-01-10 07:00:00,2020-01-11 07:00:00,24.0,0.682,0.35312423710541246,0.4685925191410951
DK0012R,2020-01-11 07:00:00,2020-01-12 07:00:00,24.0,0.974,1.019778873590384,1.0663072505788767
DK0012R,2020-01-12 07:00:00,2020-01-13 07:00:00,24.0,0.382,0.13436162940694132,0.14151486237966174
DK0012R,2020-01-13 07:00:00,2020-01-14 07:00:00,24.0,1.086,1.0571384293131516,1.0358237149605172
DK0012R,2020-01-14 07:00:00,2020-01-15 07:00:00,24.0,0.555,0.6851760841688631,0.5859351602924529
DK0012R,2020-01-15 07:00:00,2020-01-16 07:00:00,24.0,0.333,0.6721557002600154,0.6838093615714725
DK0012R,2020-01-16 07:00:00,2020-01-17 07:00:00,24.0,1.076,1.251525991853576,1.2986143411699367
DK0012R,2020-01-17 07:00:00,2020-01-18 07:00:00,24.0,1.446,1.755670898621008,1.6675316133853182
DK0012R,2020-01-18 07:00:00,2020-01-19 07:00:00,24.0,0.098,0.14055892488717728,0.13939685979434488
DK0012R,2020-01-19 07:00:00,2020-01-20 07:00:00,24.0,0.2,0.11084360719278459,0.14092756756278713
DK0012R,2020-01-20 07:00:00,2020-01-21 07:00:00,24.0,0.461,0.28824103715537497,0.3844709552172018
DK0012R,2020-01-21 07:00:00,2020-01-22 07:00:00,24.0,0.19,0.05973042968843067,0.10924707594072576
DK0012R,2020-01-22 07:00:00,2020-01-23 07:00:00,24.0,0.252,0.19053300827372074,0.2533252535626087
DK0012R,2020-01-23 07:00:00,2020-01-24 07:00:00,24.0,0.292,0.4147830363823461,0.5773749109699771
DK0012R,2020-01-24 07:00:00,2020-01-25 07:00:00,24.0,0.353,0.1933008562390949,0.23779418907038927
DK0012R,2020-01-25 07:00:00,2020-01-26 07:00:00,24.0,1.025,1.3022516090304859,1.358775261622317
DK0012R,2020-01-26 07:00:00,2020-01-27 07:00:00,24.0,2.753,4.515516769545684,4.410662712852431
DK0012R,2020-01-27 07:00:00,2020-01-28 07:00:00,24.0,1.966,1.567958054234557,1.5872593835239794
DK0012R,2020-01-28 07:00:00,2020-01-29 07:00:00,24.0,0.687,0.4733119754073442,0.5287926024735798
DK0012R,2020-01-29 07:00:00,2020-01-30 07:00:00,24.0,0.159,0.038421988227232196,0.048626274661319725
DK0012R,2020-01-30 07:00:00,2020-01-31 07:00:00,24.0,0.363,0.3041927948463415,0.32670584809058495
DK0012R,2020-01-31 07:00:00,2020-02-01 07:00:00,24.0,0.25,0.25854446651907476,0.2681146135982018
DK0012R,2020-02-01 07:00:00,2020-02-02 07:00:00,24.0,0.291,0.11350073631278125,0.12601876720280616
DK0012R,2020-02-02 07:00:00,2020-02-03 07:00:00,24.0,0.166,0.13221368395904617,0.1874764473990803
DK0012R,2020-02-03 07:00:00,2020-02-04 07:00:00,24.0,0.32,0.192381255037906,0.23391557143858577
DK0012R,2020-02-04 07:00:00,2020-02-05 07:00:00,24.0,0.127,0.06560434397870958,0.12097796442509588
DK0012R,2020-02-05 07:00:00,2020-02-06 07:00:00,24.0,0.157,0.058069837909225513,0.0986761999478221
DK0012R,2020-02-06 07:00:00,2020-02-07 07:00:00,24.0,0.389,0.21077556480139625,0.244321900615006
DK0012R,2020-02-07 07:00:00,2020-02-08 07:00:00,24.0,0.921,1.0184616690738335,1.0524585068414896
DK0012R,2020-02-08 07:00:00,2020-02-09 07:00:00,24.0,2.441,3.7170542837286398,3.649729899144995
DK0012R,2020-02-09 07:00:00,2020-02-10 07:00:00,24.0,0.543,0.407821053897995,0.3850443576091915
DK0012R,2020-02-10 07:00:00,2020-02-11 07:00:00,24.0,0.066,0.02932900941616004,0.031558739590313495
DK0012R,2020-02-11 07:00:00,2020-02-12 07:00:00,24.0,0.093,0.022132915165037598,0.023276386709383524
DK0012R,2020-02-12 07:00:00,2020-02-13 07:00:00,24.0,0.097,0.024903508799582908,0.031163181377267053
DK0012R,2020-02-13 07:00:00,2020-02-14 07:00:00,24.0,0.563,1.2579915347650537,1.1991484316516436
DK0012R,2020-02-14 07:00:00,2020-02-15 07:00:00,24.0,1.366,2.3542362254743505,2.2606085726891774
DK0012R,2020-02-15 07:00:00,2020-02-16 07:00:00,24.0,0.953,1.7855183832642751,1.702077372389389
DK0012R,2020-02-16 07:00:00,2020-02-17 07:00:00,24.0,0.114,0.2046628831151667,0.182973782889177
DK0012R,2020-02-17 07:00:00,2020-02-18 07:00:00,24.0,0.146,0.12693035383971732,0.11949931564725529
DK0012R,2020-02-18 07:00:00,2020-02-19 07:00:00,24.0,0.24,0.1837373694053577,0.17594148893927927
DK0012R,2020-02-19 07:00:00,2020-02-20 07:00:00,24.0,0.145,0.3059360953969103,0.3129601033003957
DK0012R,2020-02-20 07:00:00,2020-02-21 07:00:00,24.0,0.556,0.7278932457993439,0.6953343452789346
DK0012R,2020-02-21 07:00:00,2020-02-22 07:00:00,24.0,0.181,0.286898437729226,0.32814486268705867
DK0012R,2020-02-22 07:00:00,2020-02-23 07:00:00,24.0,0.045,0.05557070562865263,0.062019457310510694
DK0012R,2020-02-23 07:00:00,2020-02-24 07:00:00,24.0,0.054,0.06565753688221898,0.10389661460579258
DK0012R,2020-02-24 07:00:00,2020-02-25 07:00:00,24.0,0.084,0.22684947261159608,0.2645400546585881
DK0012R,2020-02-26 07:00:00,2020-02-27 07:00:00,24.0,0.182,0.2785230690133184,0.3590729173899955
DK0012R,2020-02-27 07:00:00,2020-02-28 07:00:00,24.0,0.597,0.6488944507341772,0.7161325640078718
DK0012R,2020-02-28 07:00:00,2020-02-29 07:00:00,24.0,0.393,0.7933961771071827,0.7979832669421058
DK0012R,2020-02-29 07:00:00,2020-03-01 07:00:00,24.0,0.3,0.8211582445697019,0.7259736381374117
DK0012R,2020-03-01 07:00:00,2020-03-02 07:00:00,24.0,0.3,1.1576355805288614,1.1065106384892516
DK0012R,2020-03-02 07:00:00,2020-03-03 07:00:00,24.0,0.733,2.44412467381091,2.362808070262971
DK0012R,2020-03-03 07:00:00,2020-03-04 07:00:00,24.0,1.036,1.4309756305960584,1.442457145076501
DK0012R,2020-03-04 07:00:00,2020-03-05 07:00:00,24.0,0.691,0.8177983144805979,0.905020599978883
DK0012R,2020-03-05 07:00:00,2020-03-06 07:00:00,24.0,1.613,2.5958151355433334,2.6106983480535133
DK0012R,2020-03-06 07:00:00,2020-03-07 07:00:00,24.0,1.917,3.4550362349520882,3.3519746091003473
DK0012R,2020-03-07 07:00:00,2020-03-08 07:00:00,24.0,1.556,3.078446824728392,3.0811647682478225
DK0012R,2020-03-08 07:00:00,2020-03-09 07:00:00,24.0,1.396,2.0693939550239406,1.963085150636778
DK0012R,2020-03-09 07:00:00,2020-03-10 07:00:00,24.0,1.102,1.71843295074701,1.5692307381035595
DK0012R,2020-03-10 07:00:00,2020-03-11 07:00:00,24.0,0.429,0.25968887943801555,0.24234593407626895
DK0012R,2020-03-11 07:00:00,2020-03-12 07:00:00,24.0,0.385,0.6557085182602997,0.679723025850083
DK0012R,2020-03-12 07:00:00,2020-03-13 07:00:00,24.0,0.18,0.13440592998081466,0.13722885495719694
DK0012R,2020-03-13 07:00:00,2020-03-14 07:00:00,24.0,0.135,0.04836765258091393,0.07040834045891417
DK0012R,2020-03-14 07:00:00,2020-03-15 07:00:00,24.0,0.303,0.6584904143971441,0.6692847785992253
DK0012R,2020-03-15 07:00:00,2020-03-16 07:00:00,24.0,0.723,1.5783622657388854,1.4997580479095642
DK0012R,2020-03-16 07:00:00,2020-03-17 07:00:00,24.0,0.419,0.377629487823216,0.3683474544645308
DK0012R,2020-03-17 07:00:00,2020-03-18 07:00:00,24.0,1.229,1.5237494113166032,1.547245846712096
DK0012R,2020-03-18 07:00:00,2020-03-19 07:00:00,24.0,0.462,0.32350515612628633,0.37582496107172797
DK0012R,2020-03-19 07:00:00,2020-03-20 07:00:00,24.0,0.273,0.18608508493077727,0.22093385056277495
DK0012R,2020-03-20 07:00:00,2020-03-21 07:00:00,24.0,0.166,0.1410475280090752,0.19050319662275814
DK0012R,2020-03-21 07:00:00,2020-03-22 07:00:00,24.0,0.157,0.12798359004291066,0.1580803575414871
DK0012R,2020-03-22 07:00:00,2020-03-23 07:00:00,24.0,0.187,0.20811412182246855,0.2770927877237305
DK0012R,2020-03-23 07:00:00,2020-03-24 07:00:00,24.0,0.528,0.7457436399329919,0.7695246172890565
DK0012R,2020-03-24 07:00:00,2020-03-25 07:00:00,24.0,0.979,1.3658624962079056,1.3806834905136816
DK0012R,2020-03-25 07:00:00,2020-03-26 07:00:00,24.0,1.508,1.5347917206164963,1.5446261879415522
DK0012R,2020-03-26 07:00:00,2020-03-27 07:00:00,24.0,1.307,2.3734625162562226,2.3305273045009653
DK0012R,2020-03-27 07:00:00,2020-03-28 07:00:00,24.0,2.496,2.8949724288419083,2.8478152980591083
DK0012R,2020-03-28 07:00:00,2020-03-29 07:00:00,24.0,1.416,0.7293749827112262,0.7850003934241143
DK0012R,2020-03-29 07:00:00,2020-03-30 07:00:00,24.0,0.122,0.12047115242182109,0.1568484987987119
DK0012R,2020-03-30 07:00:00,2020-03-31 07:00:00,24.0,0.157,0.16741447660137673,0.19387665636041063
DK0012R,2020-03-31 07:00:00,2020-04-01 07:00:00,24.0,0.318,0.33170439525401174,0.3927563523056315
DK0012R,2020-04-01 07:00:00,2020-04-02 07:00:00,24.0,0.271,0.33020782880271665,0.33340409518153097
DK0012R,2020-04-02 07:00:00,2020-04-03 07:00:00,24.0,0.189,0.13822085118444935,0.14717450826747958
DK0012R,2020-04-03 07:00:00,2020-04-04 07:00:00,24.0,0.155,0.18984209443572264,0.22191294008495813
DK0012R,2020-04-04 07:00:00,2020-04-05 07:00:00,24.0,1.524,2.8261522456232533,2.7866173219772583
DK0012R,2020-04-05 07:00:00,2020-04-06 07:00:00,24.0,0.925,1.332401941134466,1.364398123286562
DK0012R,2020-04-06 07:00:00,2020-04-07 07:00:00,24.0,2.166,2.975910843388878,2.9236915282489844
DK0012R,2020-04-07 07:00:00,2020-04-08 07:00:00,24.0,0.367,0.8366365553423089,0.8321995869856672
DK0012R,2020-04-08 07:00:00,2020-04-09 07:00:00,24.0,0.936,1.4386120742909894,1.4159974861128095
DK0012R,2020-04-09 07:00:00,2020-04-10 07:00:00,24.0,0.272,0.47608770792300364,0.48862689787134034
DK0012R,2020-04-10 07:00:00,2020-04-11 07:00:00,24.0,0.617,0.8954007893845407,0.9380966390141703
DK0012R,2020-04-11 07:00:00,2020-04-12 07:00:00,24.0,0.993,1.6321810338595295,1.6383356647906953
DK0012R,2020-04-12 07:00:00,2020-04-13 07:00:00,24.0,0.647,0.8001252421702119,0.7867265992075659
DK0012R,2020-04-13 07:00:00,2020-04-14 07:00:00,24.0,0.081,0.05871433896491995,0.06986825676261439
DK0012R,2020-04-14 07:00:00,2020-04-15 07:00:00,24.0,0.343,0.3030438114530432,0.31591795531189154
DK0012R,2020-04-15 07:00:00,2020-04-16 07:00:00,24.0,0.679,0.31993635589405556,0.31700725148298
DK0012R,2020-04-16 07:00:00,2020-04-17 07:00:00,24.0,0.245,0.5494118533367074,0.547812778464609
DK0012R,2020-04-17 07:00:00,2020-04-18 07:00:00,24.0,0.284,0.26554865750971035,0.2827324055365757
DK0012R,2020-04-18 07:00:00,2020-04-19 07:00:00,24.0,0.229,0.5866547327725308,0.6415066483920625
DK0012R,2020-04-19 07:00:00,2020-04-20 07:00:00,24.0,0.261,0.66886580419095,0.7172299777490424
DK0012R,2020-04-20 07:00:00,2020-04-21 07:00:00,24.0,0.415,1.0073477782484284,1.0536359238824433
DK0012R,2020-04-21 07:00:00,2020-04-22 07:00:00,24.0,0.343,0.6066139971164722,0.6491989268382459
DK0012R,2020-04-22 07:00:00,2020-04-23 07:00:00,24.0,0.396,1.2403254536530213,1.2801960356702715
DK0012R,2020-04-23 07:00:00,2020-04-24 07:00:00,24.0,0.903,1.5870996028791045,1.5985268088043965
DK0012R,2020-04-24 07:00:00,2020-04-25 07:00:00,24.0,0.676,0.8390323344544278,0.9036383971256147
DK0012R,2020-04-25 07:00:00,2020-04-26 07:00:00,24.0,0.325,0.5624612512916607,0.6058222531784562
DK0012R,2020-04-26 07:00:00,2020-04-27 07:00:00,24.0,0.625,0.9727693135532304,1.0262508385987905
DK0012R,2020-04-28 07:00:00,2020-04-29 07:00:00,24.0,0.645,0.7960981098095475,0.8279889483264785
DK0012R,2020-04-29 07:00:00,2020-04-30 07:00:00,24.0,0.343,0.6384056434999312,0.6266398155620176
DK0012R,2020-04-30 07:00:00,2020-05-01 07:00:00,24.0,0.787,1.270656576691532,1.1911394168671248
DK0012R,2020-05-01 07:00:00,2020-05-02 07:00:00,24.0,0.711,1.5808418904488948,1.4787693849399606
DK0012R,2020-05-02 07:00:00,2020-05-03 07:00:00,24.0,0.675,3.176452431440435,3.11355769702264
DK0012R,2020-05-03 07:00:00,2020-05-04 07:00:00,24.0,0.54,0.5776199984632241,0.5776538485495079
DK0012R,2020-05-04 07:00:00,2020-05-05 07:00:00,24.0,0.219,0.331664710141008,0.331230977733117
DK0012R,2020-05-05 07:00:00,2020-05-06 07:00:00,24.0,0.229,0.23907414250010395,0.264437004630641
DK0012R,2020-05-06 07:00:00,2020-05-07 07:00:00,24.0,0.514,0.4347778357730118,0.48944264809997745
DK0012R,2020-05-07 07:00:00,2020-05-08 07:00:00,24.0,0.72,0.7690937109135726,0.840886806739744
DK0012R,2020-05-08 07:00:00,2020-05-09 07:00:00,24.0,1.221,1.9354613248417465,2.0139653456603157
DK0012R,2020-05-09 07:00:00,2020-05-10 07:00:00,24.0,2.207,3.275913202803217,3.1835282149783795
DK0012R,2020-05-10 07:00:00,2020-05-11 07:00:00,24.0,0.589,0.7705666481015916,0.7282300036551582
DK0012R,2020-05-11 07:00:00,2020-05-12 07:00:00,24.0,0.164,0.1614187809239793,0.18525299488911814
DK0012R,2020-05-12 07:00:00,2020-05-13 07:00:00,24.0,0.184,0.14004117278861747,0.15669254014849157
DK0012R,2020-05-13 07:00:00,2020-05-14 07:00:00,24.0,0.159,0.2544610962103903,0.31583671124738094
DK0012R,2020-05-14 07:00:00,2020-05-15 07:00:00,24.0,0.207,0.22947243207285073,0.306985411334776
DK0012R,2020-05-15 07:00:00,2020-05-16 07:00:00,24.0,0.242,0.19762646905998024,0.21943026873278138
DK0012R,2020-05-16 07:00:00,2020-05-17 07:00:00,24.0,0.228,0.13113882118347714,0.1456846188291828
DK0012R,2020-05-17 07:00:00,2020-05-18 07:00:00,24.0,0.358,0.14231955874298322,0.14601761823797432
DK0012R,2020-05-18 07:00:00,2020-05-19 07:00:00,24.0,0.648,0.25863527228943833,0.25622762104570934
DK0012R,2020-05-19 07:00:00,2020-05-20 07:00:00,24.0,0.507,0.2616439840563774,0.2925012755154234
DK0012R,2020-05-20 07:00:00,2020-05-21 07:00:00,24.0,0.714,1.1209810293719347,1.1720855927410005
DK0012R,2020-05-21 07:00:00,2020-05-22 07:00:00,24.0,0.749,0.7912783068971443,0.8096533070739363
DK0012R,2020-05-22 07:00:00,2020-05-23 07:00:00,24.0,0.531,0.7169918572554943,0.6659463767356232
DK0012R,2020-05-23 07:00:00,2020-05-24 07:00:00,24.0,0.539,0.3163655595232174,0.2720855714194515
DK0012R,2020-05-24 07:00:00,2020-05-25 07:00:00,24.0,0.301,0.057620613604077914,0.06114020917757721
DK0012R,2020-05-25 07:00:00,2020-05-26 07:00:00,24.0,0.419,0.16680785623946895,0.24430323350454877
DK0012R,2020-05-26 07:00:00,2020-05-27 07:00:00,24.0,0.635,0.839871791614685,0.8932612196719916
DK0012R,2020-05-27 07:00:00,2020-05-28 07:00:00,24.0,0.446,0.13651025473576592,0.1654433366499892
DK0012R,2020-05-28 07:00:00,2020-05-29 07:00:00,24.0,0.317,0.41172075185275575,0.4387887097540418
DK0012R,2020-05-29 07:00:00,2020-05-30 07:00:00,24.0,0.581,0.5914358183828498,0.6436610183433512
DK0012R,2020-05-30 07:00:00,2020-05-31 07:00:00,24.0,0.29,0.16550003988547843,0.18331670244243692
DK0012R,2020-05-31 07:00:00,2020-06-01 07:00:00,24.0,0.278,0.05035809534032772,0.05896116566523003
DK0012R,2020-06-01 07:00:00,2020-06-02 07:00:00,24.0,0.312,0.20258131700092644,0.24708032449209627
DK0012R,2020-06-02 07:00:00,2020-06-03 07:00:00,24.0,0.258,0.20948146782429458,0.2488555478108068
DK0012R,2020-06-03 07:00:00,2020-06-04 07:00:00,24.0,0.334,0.1610267213115302,0.1875148214605442
DK0012R,2020-06-04 07:00:00,2020-06-05 07:00:00,24.0,0.302,0.3539410881820449,0.31412109721809495
DK0012R,2020-06-05 07:00:00,2020-06-06 07:00:00,24.0,0.251,0.32520738777160524,0.26441035366931337
DK0012R,2020-06-06 07:00:00,2020-06-07 07:00:00,24.0,0.495,1.5189472880486743,1.2940170097814565
