site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
NL10444,2016-01-01 00:00:00,2016-01-01 01:00:00,1.0,3.13,0.428517039642334,0.4298205504226685
NL10444,2016-01-01 01:00:00,2016-01-01 02:00:00,1.0,0.96,0.3398905066680908,0.3408434466934203
NL10444,2016-01-01 02:00:00,2016-01-01 03:00:00,1.0,0.715,0.2908128228378295,0.2909715047836304
NL10444,2016-01-01 03:00:00,2016-01-01 04:00:00,1.0,0.735,0.2956013575744629,0.2964374070167541
NL10444,2016-01-01 04:00:00,2016-01-01 05:00:00,1.0,0.185,0.3274832186508178,0.3283322559356689
NL10444,2016-01-01 06:00:00,2016-01-01 07:00:00,1.0,0.12,0.3576183259963989,0.3576497149658202
NL10444,2016-01-01 11:00:00,2016-01-01 12:00:00,1.0,0.05,0.5501752718353271,0.5558911344909667
NL10444,2016-01-01 14:00:00,2016-01-01 15:00:00,1.0,0.01,0.5785034733581542,0.5747561878967284
NL10444,2016-01-01 21:00:00,2016-01-01 22:00:00,1.0,0.01,1.1657725891113282,1.122890651550293
NL10444,2016-01-01 22:00:00,2016-01-01 23:00:00,1.0,0.51,0.9652734260559084,0.9345004399108888
NL10444,2016-01-01 23:00:00,2016-01-02 00:00:00,1.0,0.495,0.8250917429351807,0.7831255391693116
NL10444,2016-01-02 00:00:00,2016-01-02 01:00:00,1.0,0.775,0.8525161683654785,0.7596028797912598
NL10444,2016-01-02 01:00:00,2016-01-02 02:00:00,1.0,0.875,0.7373981531524658,0.6525004843139649
NL10444,2016-01-02 02:00:00,2016-01-02 03:00:00,1.0,0.74,0.5921246701812745,0.544285941696167
NL10444,2016-01-02 03:00:00,2016-01-02 04:00:00,1.0,0.98,0.5004167665100097,0.4759723136901855
NL10444,2016-01-02 04:00:00,2016-01-02 05:00:00,1.0,0.655,0.4381741772460937,0.4220798366546631
NL10444,2016-01-02 05:00:00,2016-01-02 06:00:00,1.0,0.685,0.3609686238098143,0.3506275540924072
NL10444,2016-01-02 06:00:00,2016-01-02 07:00:00,1.0,0.595,0.2828889057540892,0.2775688592147827
NL10444,2016-01-02 07:00:00,2016-01-02 08:00:00,1.0,0.685,0.239671243572235,0.2374858724212646
NL10444,2016-01-02 08:00:00,2016-01-02 09:00:00,1.0,0.6,0.2445021352386473,0.2440098293495178
NL10444,2016-01-02 09:00:00,2016-01-02 10:00:00,1.0,0.55,0.2758680578041076,0.2778985039901733
