site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
DK0012R,2013-01-02 07:00:00,2013-01-03 07:00:00,24.0,0.37,0.19031504528626794,0.33112731785133476
DK0012R,2013-01-03 07:00:00,2013-01-04 07:00:00,24.0,0.15,0.18953338343411677,0.2830948514705896
DK0012R,2013-01-04 07:00:00,2013-01-05 07:00:00,24.0,0.264,0.144515812690705,0.17911866676017638
DK0012R,2013-01-05 07:00:00,2013-01-06 07:00:00,24.0,0.103,0.32659607997030016,0.357442567524612
DK0012R,2013-01-06 07:00:00,2013-01-07 07:00:00,24.0,0.058,0.22327315535709258,0.25889735644474615
DK0012R,2013-01-07 07:00:00,2013-01-08 07:00:00,24.0,0.144,0.28902288228973744,0.34053076387882236
DK0012R,2013-01-08 07:00:00,2013-01-09 07:00:00,24.0,0.357,0.3442371130609512,0.4432799373230338
DK0012R,2013-01-09 07:00:00,2013-01-10 07:00:00,24.0,0.072,0.14409243920050555,0.2075856518642604
DK0012R,2013-01-10 07:00:00,2013-01-11 07:00:00,24.0,0.062,0.31001547693520787,0.3790603099781275
DK0012R,2013-01-11 07:00:00,2013-01-12 07:00:00,24.0,0.061,0.319874994584769,0.3299453840437531
DK0012R,2013-01-12 07:00:00,2013-01-13 07:00:00,24.0,0.025,0.41501895926833154,0.4300371348166465
DK0012R,2013-01-13 07:00:00,2013-01-14 07:00:00,24.0,0.018,0.5245244342182577,0.49550661850586525
DK0012R,2013-01-14 07:00:00,2013-01-15 07:00:00,24.0,0.003,0.1952059243243187,0.20751393715649838
DK0012R,2013-01-15 07:00:00,2013-01-16 07:00:00,24.0,0.007,0.7185594214418529,0.49667089675456283
DK0012R,2013-01-16 07:00:00,2013-01-17 07:00:00,24.0,0.057,0.4939644840496778,0.446961607016325
DK0012R,2013-01-17 07:00:00,2013-01-18 07:00:00,24.0,0.05,0.5155103273233771,0.500159218378961
DK0012R,2013-01-18 07:00:00,2013-01-19 07:00:00,24.0,0.025,0.30189756805032486,0.3430284514251351
DK0012R,2013-01-19 07:00:00,2013-01-20 07:00:00,24.0,0.005,0.37424827801495786,0.4402798716187477
DK0012R,2013-01-20 07:00:00,2013-01-21 07:00:00,24.0,0.013,0.4473047544938326,0.5913323926383257
DK0012R,2013-01-21 07:00:00,2013-01-22 07:00:00,24.0,0.037,0.35921888686031106,0.5515594047409296
DK0012R,2013-01-22 07:00:00,2013-01-23 07:00:00,24.0,0.028,0.5400841906294227,0.6176047494292259
DK0012R,2013-01-23 07:00:00,2013-01-24 07:00:00,24.0,0.119,0.8455265663099291,0.8584492114907505
