site,st,ed,dtH,Obs,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-02-08 07:00:00,2019-02-09 07:00:00,24.0,0.34,0.21824583333333333,0.20401666666666665,0.11964583333333334,0.11969583333333333
DK0012R,2019-02-09 07:00:00,2019-02-10 07:00:00,24.0,0.157,0.081,0.07549583333333333,0.05825416666666667,0.05824166666666667
DK0012R,2019-02-10 07:00:00,2019-02-11 07:00:00,24.0,0.21,0.08795833333333335,0.0809625,0.03575416666666667,0.035820833333333336
DK0012R,2019-02-11 07:00:00,2019-02-12 07:00:00,24.0,0.068,0.03187083333333333,0.031495833333333334,0.050516666666666675,0.050570833333333336
DK0012R,2019-02-12 07:00:00,2019-02-13 07:00:00,24.0,0.24,0.12492916666666665,0.12540833333333332,0.12193749999999999,0.121975
DK0012R,2019-02-13 07:00:00,2019-02-14 07:00:00,24.0,0.482,0.28848333333333337,0.28839166666666666,0.38660000000000005,0.3864625
DK0012R,2019-02-14 07:00:00,2019-02-15 07:00:00,24.0,0.684,0.36039166666666667,0.36495833333333333,0.30477916666666666,0.3049208333333333
DK0012R,2019-02-15 07:00:00,2019-02-16 07:00:00,24.0,1.053,0.27358333333333335,0.2739375,0.18892083333333334,0.18886250000000002
DK0012R,2019-02-16 07:00:00,2019-02-17 07:00:00,24.0,0.798,0.39422500000000005,0.3937333333333333,0.33692916666666667,0.33678333333333327
DK0012R,2019-02-17 07:00:00,2019-02-18 07:00:00,24.0,0.641,0.47318333333333334,0.4815583333333333,0.47402916666666667,0.47382083333333336
DK0012R,2019-02-18 07:00:00,2019-02-19 07:00:00,24.0,0.871,0.42839166666666667,0.44446250000000004,0.25047916666666664,0.250475
DK0012R,2019-02-19 07:00:00,2019-02-20 07:00:00,24.0,0.178,0.06689166666666667,0.06704583333333335,0.06645833333333333,0.066525
DK0012R,2019-02-20 07:00:00,2019-02-21 07:00:00,24.0,0.438,0.12765,0.12701666666666667,0.11890833333333332,0.11900833333333334
DK0012R,2019-02-21 07:00:00,2019-02-22 07:00:00,24.0,0.386,0.17801666666666663,0.17181666666666665,0.18864999999999998,0.18903333333333336
DK0012R,2019-02-22 07:00:00,2019-02-23 07:00:00,24.0,0.215,0.07858333333333334,0.0788875,0.08971666666666667,0.08966250000000002
DK0012R,2019-02-23 07:00:00,2019-02-24 07:00:00,24.0,0.541,0.1766875,0.17900416666666663,0.10885,0.10893333333333333
DK0012R,2019-02-24 07:00:00,2019-02-25 07:00:00,24.0,0.793,0.35636666666666666,0.3608833333333334,0.35955833333333337,0.360075
DK0012R,2019-02-25 07:00:00,2019-02-26 07:00:00,24.0,0.627,0.4666875,0.4725249999999999,0.4441,0.4439208333333333
DK0012R,2019-02-26 07:00:00,2019-02-27 07:00:00,24.0,1.249,0.6997874999999999,0.7330333333333333,0.36204583333333334,0.36159583333333334
DK0012R,2019-02-27 07:00:00,2019-02-28 07:00:00,24.0,1.218,0.35225833333333334,0.35375416666666665,0.27828749999999997,0.27813333333333334
DK0012R,2019-02-28 07:00:00,2019-03-01 07:00:00,24.0,0.216,0.1836708333333333,0.158525,0.15173749999999997,0.151925
DK0012R,2019-03-01 07:00:00,2019-03-02 07:00:00,24.0,0.321,0.2569458333333334,0.2521,0.2021125,0.20215833333333333
DK0012R,2019-03-02 07:00:00,2019-03-03 07:00:00,24.0,0.521,0.3888333333333333,0.388825,0.19820833333333332,0.1983083333333333
DK0012R,2019-03-03 07:00:00,2019-03-04 07:00:00,24.0,0.255,0.10992500000000001,0.10648333333333333,0.23595416666666666,0.23599583333333332
DK0012R,2019-03-04 07:00:00,2019-03-05 07:00:00,24.0,0.098,0.048341666666666665,0.047862499999999995,0.07542083333333333,0.075475
DK0012R,2019-03-05 07:00:00,2019-03-06 07:00:00,24.0,0.148,0.13480416666666667,0.13667083333333332,0.08387083333333334,0.08390833333333335
DK0012R,2019-03-06 07:00:00,2019-03-07 07:00:00,24.0,0.394,0.22287500000000002,0.22079583333333333,0.1346375,0.13470416666666665
DK0012R,2019-03-07 07:00:00,2019-03-08 07:00:00,24.0,0.206,0.2218416666666667,0.22249583333333334,0.10425416666666666,0.10435
DK0012R,2019-03-08 07:00:00,2019-03-09 07:00:00,24.0,0.115,0.10242916666666668,0.10256666666666665,0.05176250000000001,0.05179999999999999
DK0012R,2019-03-09 07:00:00,2019-03-10 07:00:00,24.0,0.077,0.055054166666666675,0.05491666666666667,0.1104625,0.11051666666666667
DK0012R,2019-03-10 07:00:00,2019-03-11 07:00:00,24.0,0.135,0.09770416666666666,0.09773333333333334,0.05851666666666667,0.058574999999999995
DK0012R,2019-03-11 07:00:00,2019-03-12 07:00:00,24.0,0.187,0.04764583333333333,0.048037500000000004,0.04965,0.0497125
DK0012R,2019-03-12 07:00:00,2019-03-13 07:00:00,24.0,0.205,0.19975833333333334,0.19740416666666669,0.11672916666666666,0.11682083333333333
DK0012R,2019-03-13 07:00:00,2019-03-14 07:00:00,24.0,0.177,0.1315125,0.13315833333333335,0.08960833333333335,0.08970833333333332
DK0012R,2019-03-14 07:00:00,2019-03-15 07:00:00,24.0,0.125,0.12203333333333333,0.12080833333333334,0.07451666666666668,0.07455833333333334
DK0012R,2019-03-15 07:00:00,2019-03-16 07:00:00,24.0,0.063,0.07410833333333333,0.07442916666666667,0.072125,0.07218333333333334
DK0012R,2019-03-16 07:00:00,2019-03-17 07:00:00,24.0,0.141,0.11336249999999999,0.11185,0.19945,0.1995
DK0012R,2019-03-17 07:00:00,2019-03-18 07:00:00,24.0,0.066,0.07970000000000001,0.07954166666666666,0.07755833333333333,0.07763750000000001
DK0012R,2019-03-18 07:00:00,2019-03-19 07:00:00,24.0,0.106,0.06617083333333333,0.06586666666666667,0.05757916666666666,0.05748333333333333
DK0012R,2019-03-20 07:00:00,2019-03-21 07:00:00,24.0,0.341,0.4268041666666667,0.42302083333333335,0.3554291666666667,0.355775
DK0012R,2019-03-21 07:00:00,2019-03-22 07:00:00,24.0,0.42,0.4675916666666666,0.4649541666666666,0.46497499999999997,0.4656
DK0012R,2019-03-22 07:00:00,2019-03-23 07:00:00,24.0,0.636,0.8273666666666667,0.8231625,0.5159125000000001,0.5162041666666667
DK0012R,2019-03-23 07:00:00,2019-03-24 07:00:00,24.0,0.221,0.22141666666666668,0.22783333333333333,0.23377916666666665,0.23385
DK0012R,2019-03-24 07:00:00,2019-03-25 07:00:00,24.0,0.126,0.09999583333333334,0.09956666666666668,0.15966666666666665,0.15978333333333336
DK0012R,2019-03-25 07:00:00,2019-03-26 07:00:00,24.0,0.246,0.06483333333333334,0.06333333333333334,0.11827916666666667,0.1183625
DK0012R,2019-03-26 07:00:00,2019-03-27 07:00:00,24.0,0.12,0.08671250000000001,0.08627083333333334,0.15935416666666666,0.15939583333333332
DK0012R,2019-03-27 07:00:00,2019-03-28 07:00:00,24.0,0.174,0.21685,0.21753750000000002,0.3012791666666667,0.30115833333333336
DK0012R,2019-03-28 07:00:00,2019-03-29 07:00:00,24.0,0.29,0.18852916666666666,0.18868333333333331,0.44855,0.4486666666666666
DK0012R,2019-03-29 07:00:00,2019-03-30 07:00:00,24.0,0.506,0.4828166666666666,0.48642499999999994,0.5659208333333333,0.5660583333333333
DK0012R,2019-03-30 07:00:00,2019-03-31 07:00:00,24.0,0.806,0.4353791666666667,0.4448083333333333,0.6079333333333333,0.6080791666666667
DK0012R,2019-03-31 07:00:00,2019-04-01 07:00:00,24.0,0.112,0.04903749999999999,0.049054166666666656,0.059195833333333336,0.05921666666666667
DK0012R,2019-04-01 07:00:00,2019-04-02 07:00:00,24.0,0.235,0.10911666666666665,0.10902916666666666,0.0826125,0.08270833333333333
DK0012R,2019-04-02 07:00:00,2019-04-03 07:00:00,24.0,0.635,0.28631666666666666,0.28649166666666664,0.27327083333333335,0.27355833333333335
DK0012R,2019-04-03 07:00:00,2019-04-04 07:00:00,24.0,1.373,0.47487083333333335,0.4769666666666667,0.45133333333333336,0.44964999999999994
DK0012R,2019-04-04 07:00:00,2019-04-05 07:00:00,24.0,1.551,0.6199125,0.6355916666666667,0.7131666666666666,0.7097833333333333
DK0012R,2019-04-05 07:00:00,2019-04-06 07:00:00,24.0,1.535,0.4759708333333334,0.48685,0.7243083333333332,0.7221125
DK0012R,2019-04-06 07:00:00,2019-04-07 07:00:00,24.0,1.13,0.40972083333333337,0.41339583333333335,0.5079041666666666,0.5042625
DK0012R,2019-04-07 07:00:00,2019-04-08 07:00:00,24.0,0.853,0.3944541666666666,0.3988125,0.3975041666666667,0.39513333333333334
DK0012R,2019-04-08 07:00:00,2019-04-09 07:00:00,24.0,0.294,0.14944583333333336,0.14849166666666666,0.19461666666666666,0.19381249999999997
DK0012R,2019-04-09 07:00:00,2019-04-10 07:00:00,24.0,0.233,0.07929166666666666,0.07925,0.06923333333333333,0.06913333333333334
DK0012R,2019-04-10 07:00:00,2019-04-11 07:00:00,24.0,0.317,0.13347499999999998,0.13178333333333334,0.12361666666666667,0.123425
DK0012R,2019-04-11 07:00:00,2019-04-12 07:00:00,24.0,0.485,0.1923041666666667,0.1906125,0.16742500000000002,0.16730416666666667
DK0012R,2019-04-12 07:00:00,2019-04-13 07:00:00,24.0,0.483,0.1974208333333333,0.19702916666666667,0.20796249999999997,0.20815833333333333
DK0012R,2019-04-13 07:00:00,2019-04-14 07:00:00,24.0,0.576,0.1675875,0.16634583333333333,0.2321,0.23321250000000002
DK0012R,2019-04-14 07:00:00,2019-04-15 07:00:00,24.0,0.493,0.1529083333333333,0.15122916666666666,0.22995416666666668,0.23119166666666668
DK0012R,2019-04-15 07:00:00,2019-04-16 07:00:00,24.0,0.549,0.11985000000000001,0.11286250000000002,0.180925,0.18120833333333333
DK0012R,2019-04-16 07:00:00,2019-04-17 07:00:00,24.0,0.571,0.29610416666666667,0.2960333333333333,0.44474583333333334,0.444325
DK0012R,2019-04-17 07:00:00,2019-04-18 07:00:00,24.0,0.712,0.2066041666666667,0.1991333333333333,0.4334291666666667,0.43245416666666664
DK0012R,2019-04-18 07:00:00,2019-04-19 07:00:00,24.0,0.768,0.32603333333333334,0.320225,0.37872083333333334,0.3775
DK0012R,2019-04-19 07:00:00,2019-04-20 07:00:00,24.0,0.314,0.24454583333333332,0.24278749999999996,0.36435,0.365
DK0012R,2019-04-20 07:00:00,2019-04-21 07:00:00,24.0,0.414,0.15636666666666668,0.15621666666666667,0.27455416666666665,0.27452499999999996
DK0012R,2019-04-21 07:00:00,2019-04-22 07:00:00,24.0,0.583,0.18675416666666664,0.18702916666666666,0.31111249999999996,0.3105625
