site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD
SE0014R,2021-01-01 00:00:00,2021-01-02 00:00:00,24.0,0.27,0.18972757625157133,0.18318655051301966
SE0014R,2021-01-02 00:00:00,2021-01-03 00:00:00,24.0,0.18,0.3920375712673881,0.37756646674295086
SE0014R,2021-01-03 00:00:00,2021-01-04 00:00:00,24.0,0.08,0.2708416970896965,0.269488013536992
SE0014R,2021-01-04 00:00:00,2021-01-05 00:00:00,24.0,0.12,0.12105407395985997,0.12246447321404495
SE0014R,2021-01-05 00:00:00,2021-01-06 00:00:00,24.0,0.19,0.19231373180192893,0.19477265327468274
SE0014R,2021-01-06 00:00:00,2021-01-07 00:00:00,24.0,0.15,0.24476934193441782,0.24424658019598436
SE0014R,2021-01-07 00:00:00,2021-01-08 00:00:00,24.0,0.35,0.48830262229744686,0.48699307500751376
SE0014R,2021-01-08 00:00:00,2021-01-09 00:00:00,24.0,0.16,0.5469006557069637,0.5473193301890328
SE0014R,2021-01-10 00:00:00,2021-01-11 00:00:00,24.0,0.07,0.1436742198029974,0.14422999586881383
SE0014R,2021-01-11 00:00:00,2021-01-12 00:00:00,24.0,0.04,0.028339390902351613,0.0324906138109039
SE0014R,2021-01-13 00:00:00,2021-01-14 00:00:00,24.0,0.08,0.12957331630212685,0.129779127658138
SE0014R,2021-01-14 00:00:00,2021-01-15 00:00:00,24.0,0.47,0.3470432929886535,0.34816195250049814
SE0014R,2021-01-15 00:00:00,2021-01-16 00:00:00,24.0,0.29,0.283650315437142,0.285542536893691
SE0014R,2021-01-16 00:00:00,2021-01-17 00:00:00,24.0,0.18,0.1600474409260567,0.16016519583220543
SE0014R,2021-01-17 00:00:00,2021-01-18 00:00:00,24.0,0.11,0.14162996257552515,0.14217262906571296
SE0014R,2021-01-18 00:00:00,2021-01-19 00:00:00,24.0,0.32,0.23617324181402202,0.23814380553992867
SE0014R,2021-01-19 00:00:00,2021-01-20 00:00:00,24.0,0.1,0.06155674642694305,0.06511320038614282
SE0014R,2021-01-20 00:00:00,2021-01-21 00:00:00,24.0,0.13,0.08203092164364131,0.08256002614687306
SE0014R,2021-01-21 00:00:00,2021-01-22 00:00:00,24.0,0.12,0.15346605034571684,0.15400873240489832
SE0014R,2021-01-23 00:00:00,2021-01-24 00:00:00,24.0,0.08,0.12720744530159803,0.12881961237023434
SE0014R,2021-01-24 00:00:00,2021-01-25 00:00:00,24.0,0.28,0.22008709768629506,0.2209794851691794
SE0014R,2021-01-25 00:00:00,2021-01-26 00:00:00,24.0,0.33,0.1239435610028194,0.1281011777839783
SE0014R,2021-02-01 00:00:00,2021-02-02 00:00:00,24.0,0.14,0.1675068468532339,0.17583998740278184
SE0014R,2021-02-03 00:00:00,2021-02-04 00:00:00,24.0,0.33,0.19898926032950123,0.2001342746052477
SE0014R,2021-02-04 00:00:00,2021-02-05 00:00:00,24.0,0.35,0.33606020476397097,0.3370393887897802
SE0014R,2021-02-05 00:00:00,2021-02-06 00:00:00,24.0,0.38,0.48470647821819085,0.4852486021167863
SE0014R,2021-02-06 00:00:00,2021-02-07 00:00:00,24.0,0.24,0.46326502000589415,0.4647167188049946
SE0014R,2021-02-07 00:00:00,2021-02-08 00:00:00,24.0,0.11,0.23307438868035027,0.23304765267304708
SE0014R,2021-02-08 00:00:00,2021-02-09 00:00:00,24.0,0.08,0.1276311512558174,0.1274175234711644
SE0014R,2021-02-09 00:00:00,2021-02-10 00:00:00,24.0,0.08,0.17016031565973933,0.17056208463205694
SE0014R,2021-02-10 00:00:00,2021-02-11 00:00:00,24.0,0.07,0.13891817742167312,0.14103626131179584
SE0014R,2021-02-11 00:00:00,2021-02-12 00:00:00,24.0,0.05,0.1067668489718915,0.10940593389177837
SE0014R,2021-02-12 00:00:00,2021-02-13 00:00:00,24.0,0.03,0.07295367277213825,0.07598431357854855
SE0014R,2021-02-13 00:00:00,2021-02-14 00:00:00,24.0,0.05,0.07559520300403184,0.07836284745041168
SE0014R,2021-02-14 00:00:00,2021-02-15 00:00:00,24.0,0.12,0.09739552222608668,0.10293550677778047
SE0014R,2021-02-15 00:00:00,2021-02-16 00:00:00,24.0,0.13,0.11114651769207277,0.111592132700647
SE0014R,2021-02-16 00:00:00,2021-02-17 00:00:00,24.0,0.93,0.15408291500070384,0.15369428364874851
SE0014R,2021-02-17 00:00:00,2021-02-18 00:00:00,24.0,0.94,0.320928552997394,0.3179165396862993
SE0014R,2021-02-18 00:00:00,2021-02-19 00:00:00,24.0,0.74,0.46035419885346157,0.4564215727702421
SE0014R,2021-02-19 00:00:00,2021-02-20 00:00:00,24.0,0.46,0.17090708515448283,0.1743800603306005
SE0014R,2021-02-20 00:00:00,2021-02-21 00:00:00,24.0,0.28,0.37366011763506757,0.37549514921993277
SE0014R,2021-02-21 00:00:00,2021-02-22 00:00:00,24.0,0.34,0.5776947178909588,0.5848115186508284
SE0014R,2021-02-22 00:00:00,2021-02-23 00:00:00,24.0,0.57,0.5677843907275969,0.5775034228454261
SE0014R,2021-02-23 00:00:00,2021-02-24 00:00:00,24.0,0.26,0.4132118197535859,0.42046873639219684
SE0014R,2021-02-24 00:00:00,2021-02-25 00:00:00,24.0,0.32,0.2581829605857289,0.2839048448376658
SE0014R,2021-02-25 00:00:00,2021-02-26 00:00:00,24.0,0.3,0.13468103835198264,0.14065220688514932
SE0014R,2021-02-27 00:00:00,2021-02-28 00:00:00,24.0,0.14,0.09579408774073839,0.0961002469727129
SE0014R,2021-02-28 00:00:00,2021-03-01 00:00:00,24.0,0.12,0.09810169250233836,0.09669954682378835
SE0014R,2021-03-01 00:00:00,2021-03-02 00:00:00,24.0,0.14,0.09127840721119829,0.08986282741352265
SE0014R,2021-03-02 00:00:00,2021-03-03 00:00:00,24.0,0.23,0.15195203107601055,0.14970650164595856
SE0014R,2021-03-03 00:00:00,2021-03-04 00:00:00,24.0,0.43,0.19187227402265963,0.18849633271599534
SE0014R,2021-03-04 00:00:00,2021-03-05 00:00:00,24.0,0.06,0.12478520499649733,0.12571089974456776
SE0014R,2021-03-05 00:00:00,2021-03-06 00:00:00,24.0,0.02,0.09763267900273102,0.09667389077225845
SE0014R,2021-03-06 00:00:00,2021-03-07 00:00:00,24.0,0.05,0.08946814679306887,0.08930553078544966
SE0014R,2021-03-08 00:00:00,2021-03-09 00:00:00,24.0,0.03,0.3111138479684883,0.3107454611185301
SE0014R,2021-03-09 00:00:00,2021-03-10 00:00:00,24.0,0.06,0.1893601703005522,0.1936277773855155
SE0014R,2021-03-10 00:00:00,2021-03-11 00:00:00,24.0,0.07,0.25620967478121864,0.25432644425715795
SE0014R,2021-03-11 00:00:00,2021-03-12 00:00:00,24.0,0.28,0.12431103491638545,0.12459781820073594
SE0014R,2021-03-12 00:00:00,2021-03-13 00:00:00,24.0,0.05,0.03308300927167049,0.03328046225087024
SE0014R,2021-03-13 00:00:00,2021-03-14 00:00:00,24.0,0.08,0.09930719333378378,0.10542398266909923
SE0014R,2021-03-14 00:00:00,2021-03-15 00:00:00,24.0,0.08,0.08491808760665953,0.08652032640020456
SE0014R,2021-03-15 00:00:00,2021-03-16 00:00:00,24.0,0.04,0.04340759907343377,0.04385077762139546
SE0014R,2021-03-16 00:00:00,2021-03-17 00:00:00,24.0,0.08,0.06031016668111894,0.061944099558823795
SE0014R,2021-03-17 00:00:00,2021-03-18 00:00:00,24.0,0.03,0.06610165786919867,0.06549008050570614
SE0014R,2021-03-18 00:00:00,2021-03-19 00:00:00,24.0,0.04,0.06151678844872637,0.061639635720320794
SE0014R,2021-03-19 00:00:00,2021-03-20 00:00:00,24.0,0.06,0.14311716242744837,0.1439836313026339
SE0014R,2021-03-20 00:00:00,2021-03-21 00:00:00,24.0,0.1,0.12362205864219881,0.12301648657791198
SE0014R,2021-03-21 00:00:00,2021-03-22 00:00:00,24.0,0.04,0.05404707518975241,0.05463741020121368
SE0014R,2021-03-22 00:00:00,2021-03-23 00:00:00,24.0,0.11,0.09909431156974606,0.09880578929820859
SE0014R,2021-03-23 00:00:00,2021-03-24 00:00:00,24.0,0.12,0.14092565396735857,0.13592077250883508
SE0014R,2021-03-24 00:00:00,2021-03-25 00:00:00,24.0,0.38,0.3765538279080561,0.37490372601964467
SE0014R,2021-03-25 00:00:00,2021-03-26 00:00:00,24.0,0.3,0.21376198629626797,0.21547775112065026
SE0014R,2021-03-26 00:00:00,2021-03-27 00:00:00,24.0,0.29,0.2741572528236596,0.27682394362797147
SE0014R,2021-03-27 00:00:00,2021-03-28 00:00:00,24.0,0.2,0.17904654816676646,0.1798070995321429
SE0014R,2021-03-28 00:00:00,2021-03-29 00:00:00,24.0,0.12,0.11393915115335355,0.11613604144997218
SE0014R,2021-03-30 00:00:00,2021-03-31 00:00:00,24.0,0.15,0.22752081890526102,0.2166063447643111
SE0014R,2021-03-31 00:00:00,2021-04-01 00:00:00,24.0,0.36,0.18864766572183367,0.1883442801640407
SE0014R,2021-04-01 00:00:00,2021-04-02 00:00:00,24.0,0.06,0.06363753504848518,0.0642168289554234
SE0014R,2021-04-02 00:00:00,2021-04-03 00:00:00,24.0,0.15,0.12488281534769859,0.12334023143564161
