par,site,Simcase,RMSE,MB,Corr,N
O3,DK0012R,DEHM_noBD,15.099255768079122,4.47291042822742,0.8016228043896274,7833
O3,DK0012R,DEHM_BD,15.105963644322063,4.494027961432439,0.8016407944275147,7833
O3,DK0012R,EMEP_noBD,13.91409350114072,-1.3168037174007403,0.8218434086313561,7833
O3,DK0012R,EMEP_BD,13.915950791434748,-1.283364971071109,0.8217690390672683,7833
O3,DK0012R,MATCH_noBD,18.333951390722735,-5.836764821276139,0.7249890867909276,7833
O3,DK0012R,MATCH_BD,18.33401986378154,-5.835044697026427,0.7249785871733228,7833
O3,DK0031R,DEHM_noBD,14.09894167730384,2.6318577032688224,0.7756156634121987,7771
O3,DK0031R,DEHM_BD,14.103635533369507,2.6528204212522777,0.7756485604657746,7771
O3,DK0031R,EMEP_noBD,13.0367519326721,1.398735345258011,0.8082704026358011,7771
O3,DK0031R,EMEP_BD,13.049111984811425,1.4245069576631069,0.808044219361488,7771
O3,DK0031R,MATCH_noBD,16.427263331867312,1.5335965079027152,0.7091222788755409,7771
O3,DK0031R,MATCH_BD,16.428197551943384,1.5351893529234326,0.70911577272599,7771
O3,NL10131,DEHM_noBD,23.391048512536525,11.36180188817768,0.7000086597924643,8416
O3,NL10131,DEHM_BD,23.40426378624177,11.381690242972558,0.6999548589555756,8416
O3,NL10131,EMEP_noBD,17.62147032763767,9.238144902566539,0.8519863976990869,8416
O3,NL10131,EMEP_BD,17.636537086220805,9.252529241920154,0.85185095567323,8416
O3,NL10131,MATCH_noBD,21.79264854562315,6.852634670517109,0.7398716903907023,8416
O3,NL10131,MATCH_BD,21.794372738153417,6.855053394304183,0.7398614126568096,8416
O3,NL10444,DEHM_noBD,18.281334603070725,1.753941052206822,0.7744942551189478,8482
O3,NL10444,DEHM_BD,18.28586758466288,1.774257231139752,0.7744822528176695,8482
O3,NL10444,EMEP_noBD,15.258511509500332,2.910829721763735,0.848857176899919,8482
O3,NL10444,EMEP_BD,15.265968173012151,2.933889837302523,0.8488343091755154,8482
O3,NL10444,MATCH_noBD,19.910159980643613,0.6667746240226358,0.7542255666628305,8482
O3,NL10444,MATCH_BD,19.91032567739194,0.6685593174439985,0.7542336208158811,8482
O3,NL10633,DEHM_noBD,20.527464617359744,3.8432370446029767,0.7219858077727751,8443
O3,NL10633,DEHM_BD,20.53559619557543,3.8651342700662337,0.721954397593973,8443
O3,NL10633,EMEP_noBD,14.490785696497799,2.176235852185242,0.8649599101390396,8443
O3,NL10633,EMEP_BD,14.49669611238218,2.192284792135497,0.8649155584659971,8443
O3,NL10633,MATCH_noBD,20.459890832986684,5.0950185063849345,0.7592163089392746,8443
O3,NL10633,MATCH_BD,20.460476534056937,5.096653968638636,0.7592202284255419,8443
O3,NL10738,DEHM_noBD,22.52094766014222,8.1573995573797,0.7111365077181372,8490
O3,NL10738,DEHM_BD,22.52941557420227,8.17706037515207,0.7111535730027266,8490
O3,NL10738,EMEP_noBD,16.880660837458365,6.44014470089496,0.8523854491381313,8492
O3,NL10738,EMEP_BD,16.889855376785306,6.455793570419218,0.8523460184904199,8492
O3,NL10738,MATCH_noBD,20.953963779414806,8.050026984192181,0.7695233575537223,8492
O3,NL10738,MATCH_BD,20.95496421554735,8.051814723843618,0.7695209056904266,8492
O3,SE0014R,DEHM_noBD,14.695681249569903,-2.5615936720478656,0.7455535499970408,8488
O3,SE0014R,DEHM_BD,14.692259529116914,-2.5401898796847364,0.7455766364548249,8488
O3,SE0014R,EMEP_noBD,13.446423368011608,2.6546652874646557,0.7994633308861065,8488
O3,SE0014R,EMEP_BD,13.456171214245137,2.68884004005655,0.7994800106134485,8488
O3,SE0014R,MATCH_noBD,15.594657857486721,0.6637741253609798,0.7375778464892379,8488
O3,SE0014R,MATCH_BD,15.595163388765117,0.6650618853308198,0.7375845276470805,8488
O3,SE0020R,DEHM_noBD,15.021925963444193,2.360597536478676,0.7770900773772231,8717
O3,SE0020R,DEHM_BD,15.02632796534543,2.3810824705110996,0.77708608979034,8717
O3,SE0020R,EMEP_noBD,13.905652984210333,2.0145751175863253,0.8137712886049965,8717
O3,SE0020R,EMEP_BD,13.915620313912283,2.0473815303430087,0.813673860532895,8717
O3,SE0020R,MATCH_noBD,17.704990879941008,-3.7047406902962035,0.7181684772852084,8717
O3,SE0020R,MATCH_BD,17.70532093093881,-3.7037322375312614,0.7181611747257063,8717
O3,SE0022R,DEHM_noBD,18.047653716744364,4.378217568972931,0.7502077186322695,8569
O3,SE0022R,DEHM_BD,18.052348294765874,4.4014962225171566,0.7501670585799395,8569
O3,SE0022R,EMEP_noBD,15.645450101706047,3.1085239584548954,0.8078630199500194,8569
O3,SE0022R,EMEP_BD,15.65018644516677,3.125310211226513,0.8078128231609691,8569
O3,SE0022R,MATCH_noBD,21.311570355313425,-5.6150107200336095,0.6461260247760141,8569
O3,SE0022R,MATCH_BD,21.31202905634101,-5.614826896715136,0.6461097127126315,8569
SO2,DK0012R,DEHM_noBD,0.2950257426830843,0.06289115200511144,0.6098411649715166,351
SO2,DK0012R,DEHM_BD,0.29062844434598617,0.06099208325225582,0.6078207021648045,351
SO2,DK0012R,EMEP_noBD,0.18413570951404706,0.06357428774928772,0.7430585347352874,351
SO2,DK0012R,EMEP_BD,0.1809575432896871,0.06381202516619179,0.7433179066033477,351
SO2,DK0012R,MATCH_noBD,1.252264123836083,0.9518221870313389,0.37182441936144983,351
SO2,DK0012R,MATCH_BD,1.249327671838776,0.9523884835099715,0.37999288241907114,351
