LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.011,2.511,7.03,0.689,0.312,1027.0,101.8,0.007319,3.469e-16,0.0,0.0,0.0,0.0,-35.14,22.29,6.327,0.6745,0.3658,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.28,18.68,0.005,0.0,200.0,0.004016,8.019,2019-01-01 17:00:00
9,2.011,2.511,6.697,0.655,0.338,1027.0,110.7,0.001806,3.469e-16,0.0,0.0,0.0,0.0,-38.79,17.69,6.435,0.6854,0.3715,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.62,18.4,0.005,0.0,200.0,0.004028,6.557,2019-01-01 18:00:00
9,2.011,2.511,6.514,0.62,0.369,1028.0,119.9,0.001806,3.469e-16,0.0,0.0,0.0,0.0,-38.79,17.69,6.35,0.6851,0.3666,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.24,18.64,0.005,0.0,200.0,0.004017,5.649,2019-01-01 19:00:00
9,2.011,2.511,6.332,0.585,0.398,1028.0,129.2,0.001806,3.469e-16,0.0,0.0,0.0,0.0,-38.79,17.69,6.266,0.6847,0.3617,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.88,18.9,0.005,0.0,200.0,0.004007,5.099,2019-01-01 20:00:00
9,2.011,2.511,6.15,0.549,0.426,1029.0,137.9,0.0001998,3.469e-16,0.0,0.0,0.0,0.0,-38.5,16.02,6.181,0.7084,0.3579,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.25,19.1,0.005,0.0,200.0,0.003998,4.819,2019-01-01 21:00:00
9,2.011,2.511,6.06,0.549,0.423,1029.0,145.4,0.0001998,3.469e-16,0.0,0.0,0.0,0.0,-38.5,16.02,6.302,0.7082,0.3649,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.33,18.73,0.005,0.0,200.0,0.004014,4.662,2019-01-01 22:00:00
9,2.011,2.511,5.97,0.55,0.421,1029.0,150.3,0.0001998,3.469e-16,0.0,0.0,0.0,0.0,-38.5,16.02,6.426,0.708,0.3721,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.42,18.37,0.005,0.0,200.0,0.004029,4.544,2019-01-01 23:00:00
9,2.021,2.521,5.88,0.55,0.418,1029.0,151.1,0.0,3.469e-16,0.0,0.0,0.0,0.0,-49.37,14.28,6.552,0.6848,0.3754,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.49,18.21,0.005,0.0,200.0,0.004035,4.466,2019-01-02 00:00:00
9,2.021,2.521,5.696,0.56,0.403,1030.0,147.5,0.0,3.469e-16,0.0,0.0,0.0,0.0,-49.37,14.28,6.432,0.6844,0.3685,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.37,18.55,0.005,0.0,200.0,0.004021,4.488,2019-01-02 01:00:00
9,2.021,2.521,5.511,0.57,0.389,1030.0,140.8,0.0,3.469e-16,0.0,0.0,0.0,0.0,-49.37,14.28,6.311,0.6841,0.3615,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.28,18.91,0.005,0.0,200.0,0.004006,4.548,2019-01-02 02:00:00
9,2.021,2.521,5.326,0.58,0.375,1030.0,132.4,0.0,3.469e-16,0.0,0.0,0.0,0.0,-68.14,9.89,6.19,0.6141,0.3435,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.47,19.9,0.005,0.0,200.0,0.003962,4.628,2019-01-02 03:00:00
