sid,sname,lat,lon,alt,country,station_setting,land_use,source
DK-05,DK-Linned,55.19885126,8.952687192,,Denmark,Rural,Forest,2
DK-06,DK-Lyngby,55.77769887,12.48329946,,Denmark,Urban,Urban park,2
DK-07,DK-Læsø,57.25526837,11.0116107,,Denmark,Rural,Coastal,2
DK-08,DK-Odden,55.73908245,10.91192268,,Denmark,Rural,Coastal,2
DK-09,DK-Risø,55.69500374,12.09052127,3,Denmark,Rural,Coastal,2
DK-10,DK-Tange,56.35396124,9.603139562,13,Denmark,Rural,Forest,2
DK-11,DK-Ulborg,56.29213202,8.428331539,10,Denmark,Rural,Forest,2
FR-Agr,FR-Agr,48.1,-1.7,33,France,,City,3
FR-Alo,FR-Alo,47.9,-2.7,116,France,,Cropland,3
FR-Aur,FR-Aur,43.5,1.1,245,France,,Cropland,3
FR-Big,FR-Big,47.9,-2.7,99,France,,Cropland,3
FR-Bil,FR-Bil,44.5,-1,36,France,,Forest,3
FR-Boi,FR-Boi,48.2,-2.1,102,France,,Cropland,3
FR-Bre,FR-Bre,48.1,-1.9,51,France,,Cropland,3
FR-Chn,FR-Chn,47.8,-2.9,67,France,,Cropland,3
FR-Cht,FR-Cht,48.1,-1.8,62,France,,Cropland,3
FR-EFL,FR-EFL,48.1,-1.8,41,France,,Cropland,3
FR-Fgs,FR-Fgs,48.4,-1.2,164,France,,Forest,3
FR-Fon,FR-Fon,48.4,2.8,116,France,,Forest,3
FR-Gri,FR-Gri,48.8,2,122,France,,Cropland,3
FR-Hes,FR-Hes,48.7,7,322,France,,Forest,3
FR-Ker,FR-Ker,48.1,-4,164,France,,Cropland,3
FR-Laq,FR-Laq,45.6,2.7,1030,France,,Grassland,3
FR-Lbr,FR-Lbr,44.7,-0.9,37,France,,Forest,3
FR-LDM,FR-LDM,48.4,-1.2,140,France,,Peatland,3
FR-Naz,FR-Naz,48,-2.8,124,France,,Cropland,3
FR-Org,FR-Org,48.8,3.1,139,France,,Cropland,3
FR-OS2,FR-OS2,48.3,1.2,195,France,,Cropland,3
FR-Pue,FR-Pue,43.7,3.6,310,France,,Forest,3
FR-Qui,FR-Qui,48,-4.1,36,France,,City,3
FR-Uni,FR-Uni,48.1,-2,98,France,,Cropland,3
NL10131,Vredepeel-Vredeweg,51.54052,5.85307,,Holland,Regional background,,4
NL10235,Huijbergen-Vennekenstraat,51.434443,4.359835,,Holland,Regional background,,4
NL10243,De Rips-Blaarpeelweg,51.547469,5.838202,,Holland,Regional background,,4
NL10244,De Rips-Klotterpeellaan,51.535901,5.808593,,Holland,Regional background,,4
NL10444,De Zilk-Vogelaarsdreef,52.296556,4.510817,,Holland,Regional background,,4
NL10538,Wieringerwerf-Medembli,52.803657,5.050509,,Holland,Regional background,,4
NL10633,Zegveld-Oude Meije,52.13795,4.83819,,Holland,Regional background,,4
NL10722,Eibergen-Lintveldseweg,52.091801,6.605367,,Holland,Regional background,,4
NL10738,Wekerom-Riemterdijk,52.111621,5.708419,,Holland,Regional background,,4
NL10929,Valthermond-Noorderdiep,52.875725,6.932432,,Holland,Regional background,,4
